NAME,STATE,Households,Avg household size,High school or more attained,Bachelors or higher,Veterans,Same house 1 year and over,Foreign born persons,Language other than english spoken at home,Mean travel time to work,Median household income,Per capita income,Percentage of individuals below the poverty level,Number of housing units,Number of two-unit structures,Number of three or four unit structures,Number of 5-9 unit structures,Number of 10-19 unit structures,Number of 20+ unit structures,Number of owner-occupied units,Median value of owner-occupied units,Total Population,Female persons,Persons under 5 years,Persons under 18 years,Persons over 65,White only,Black or African american only,Alaskan native or American Indian only,Asian only,Native Hawaiian or Pacific Islander,Two or more races,Hispanic or Latino,White alone not hispanic or latino,ESTAB,EMP,NESTAB,All Firms,Black Owned Firms,American Indian and Alaskan Native Owned Firms,Asian Owned Firms,Native Hawaiian or Pacific Islander Owned Firms,Hispanic Owned Firms,Women Owned Firms,Retail Sales,Accommodation and Food Sales,Population Density
Pulaski County,Virginia,14455,2.26,90.3,21.1,9.3,89.3,1.9,3.2,24.3,59740,34870,13.1,17031,2.4,3.3,4.6,2,1,70.3,181700,33841,49.4,4.6,17.8,22.5,91.3,5,0,0.5,0.2,2.3,1,0.4,615,11550,1710,612.8,1,0,43,0,1.4,135.2,392810,56830,106.3881757
Radford city,Virginia,5467,2.44,93.3,44.8,3.1,73,3.4,5.3,16.9,51039,24835,33.8,6450,3.8,5.3,12.5,16.5,5,45.7,204700,16379,54.8,3.7,11.9,9.3,84.3,8.9,0,2.3,0,3.8,1.8,1.2,291,3670,769,612.8,1,0,43,0,1.4,135.2,95327,35457,1885.931126
Rappahannock County,Virginia,2823,2.63,90.6,33.8,10.6,86.7,5.3,3.9,38.3,98663,54654,7.6,3850,0.7,0.3,1,0,0,74.6,509500,7422,49.5,4,18,26.5,87.3,4.4,0.2,0.2,0,3.3,5.2,0.4,200,1042,955,4821.375,365.3333333,30.54166667,861.75,3.416666667,326.0416667,1155.208333,33592,19964,27.66804754
Richmond city,Virginia,101201,2.14,88.8,44.1,5.6,78.7,7.4,10.1,22,59606,42132,19.5,111524,4.8,6.5,9.3,5.5,19.4,43.2,308300,227171,52.4,5.7,17.1,13.8,44.6,44,0.2,2.3,0,5.7,5.3,5.1,6419,118605,19420,1481.470588,83.47058824,6.882352941,146.2941176,0.470588235,48.76470588,310.1176471,2260391,793629,3845.531732
Richmond County,Virginia,2834,2.59,75.1,17.8,4.8,85.9,4.9,4.8,27.4,62708,27620,7.5,3944,2.5,4,0.5,2.4,1.8,68.6,218600,8968,43.9,5.6,17.3,20,60.8,27.2,0.4,0,0,8.2,7.1,1.8,179,2094,617,155,0,0,0,0,0,0,59033,0,47.12293532
Roanoke city,Virginia,42806,2.28,89.1,28.4,7.3,85.7,6.9,9.5,20.9,51523,33206,19.1,48726,7.2,3.9,5.7,8.8,7.4,52.1,162000,99213,52.8,6.4,22.2,17.6,59.1,29.4,0.1,3.2,0.1,6.4,4.7,3.5,3104,62120,6952,933.3333333,0,0,79.5,0,18.33333333,159.8333333,2603496,371936,2331.612153
Roanoke County,Virginia,39156,2.41,93.3,37.5,8.3,88.4,6,7.8,22.5,80872,43125,7.1,42135,1.5,1.2,4.3,7,4.9,75.7,245800,96653,51.7,4.6,19.9,21.7,85.6,6.1,0.4,3.6,0.1,3.4,2.3,1.2,2051,29276,6708,933.3333333,0,0,79.5,0,18.33333333,159.8333333,1126152,159504,375.9257803
Rockbridge County,Virginia,9368,2.39,90.6,30.2,8.5,87.7,2.6,2.6,27.3,61903,37087,8.9,11283,1.3,1.2,3.4,1.5,1.3,78.2,232100,22673,50.7,4,17.9,26.5,91.4,4.4,0.1,0.7,0,2.2,1.8,0.7,439,5353,1593,410,0,0,0,0,0,54,366326,57851,37.83971421
Rockingham County,Virginia,31612,2.59,87.2,28.8,6.6,89.6,5.6,9.7,21.7,73232,37180,8.8,35692,2.2,1.8,2,1.7,1.6,75.2,266900,83905,50.6,5.6,21.9,19.6,89.9,2.4,0.1,0.9,0.1,4.9,4.6,3.1,1554,29248,6349,1393.5,3,0,0,0,7.5,300.5,454963,102006,96.43333689
Russell County,Virginia,10438,2.42,82.9,12.6,6.1,94.7,0.6,1.1,27.6,44088,25939,19.3,12814,0.5,2.7,2.2,0.4,0.5,74.8,112000,25763,50,4.6,18.3,22.6,96.5,2,0.2,0,0.3,0.9,0.3,0.4,450,5757,1200,363,0,0,0,0,0,37,276188,22092,56.1450429
Salem city,Virginia,10045,2.26,93.9,32.5,7.1,86.5,4.2,4.9,18.8,68402,37991,9.6,11096,3.6,2.5,3.7,9.3,3.1,64,231900,25372,52,4,18.6,19.3,85.1,7.9,0.1,1.8,0.1,3.3,3,1.4,1003,18382,1693,933.3333333,0,0,79.5,0,18.33333333,159.8333333,524458,95878,1742.674568
Scott County,Virginia,8838,2.35,83,13.9,6.5,93,0.4,0.8,30.1,44535,26681,17,11793,0.4,0.6,1.1,0.9,0.7,78.5,122300,21536,49.1,3.8,18,24.8,97,1.2,0.1,0.1,0.2,1.4,0.7,0,248,3764,941,841,0.8,0,0,0,0,108.6,168074,21731,40.248042
Shenandoah County,Virginia,17542,2.5,88.6,20.7,9.8,89.6,4.6,9.2,29.8,62149,34170,12.6,21195,1.3,1.7,2.4,4.2,2.5,72.8,247600,44337,50.6,5.7,21.3,21.9,88.6,2.7,0.1,1.2,0,5.6,5.1,2.3,887,11499,3163,837,0,0,0,0,0,152,562291,69145,85.84609847
Smyth County,Virginia,12651,2.3,84.7,17.5,7.2,88.4,1.5,2.3,22.5,45061,26660,18.8,15125,1.3,2.9,2.1,2.4,1,68.4,120600,29799,50.4,4.5,19.2,22.4,95.3,1.8,0.1,0.4,0.1,2.1,1,0.3,482,8167,1451,378,0,0,0,0,0,86,272651,31190,66.69762463
Southampton County,Virginia,6841,2.43,86.8,19,12.2,91,1.1,2.6,33.7,67813,32218,8.4,7737,1,0.6,2.2,0.2,0,77,199700,18003,47.5,4.8,19.3,20.8,61.7,30.1,0.3,0.3,0,7,1.9,0.8,225,2148,1025,202,0,0,0,0,0,40,61249,4451,29.4244416
Spotsylvania County,Virginia,49449,2.85,91,33.3,13.4,87.4,8.6,12.3,37.3,105068,44881,7.4,52516,0.4,0.6,1.6,2.9,4.2,78.9,349900,141097,50.4,5.9,24.5,14.6,68.2,16.8,0.2,2.7,0.1,6.8,7.6,5.8,2640,32269,11055,4821.375,365.3333333,30.54166667,861.75,3.416666667,326.0416667,1155.208333,2480966,232657,339.2623722
Stafford County,Virginia,50313,3.06,92.9,43.1,17.7,85.5,12.5,17.2,37.9,128036,48971,5.4,52961,0.4,0.5,2.2,3.9,2.2,79.6,431900,157606,49.3,6.2,26.1,11,59.7,19,0.3,3.8,0,9.7,12.3,8.2,2509,35417,12445,4821.375,365.3333333,30.54166667,861.75,3.416666667,326.0416667,1155.208333,1362367,228374,567.9022064
Staunton city,Virginia,11064,2.18,92.6,33.6,7.8,82.1,4.2,6.2,22.1,59731,34581,11.4,12293,3.6,4,4.7,5.3,6.3,59.5,219500,25581,54.2,5.9,18.9,21.1,81.8,10.7,0.1,1.4,0.6,4.6,1.4,1.4,740,9934,1892,734.3333333,0,0,0,0,0,143.3333333,449738,66213,1251.575907
Suffolk city,Virginia,36318,2.59,91.2,32.1,16.5,86.3,3.9,5.6,29.6,87758,44004,9.4,38847,2.6,2.1,3.7,4.7,3.7,70.4,314400,94856,51.1,6.3,23.6,14.8,48.6,41.6,0.3,1.9,0,5.9,3.8,1.8,1734,24682,7047,1715.25,105.0625,0,208.75,4.8125,57.0625,411.25,1160588,163183,230.7583585
Surry County,Virginia,2745,2.38,87.6,23.5,17.5,93.6,2,1.5,40.3,68655,36497,13.3,3419,0.5,0.9,2.4,0.4,0.2,77.9,231400,6546,49.8,4.9,16.9,24,55.3,41.7,0,0.1,0,1.9,1.4,0.4,85,1192,446,103,0,0,0,0,0,0,12238,710,23.02209166
Sussex County,Virginia,3698,2.53,81.3,15.4,11.1,86.1,1.6,2.4,34.7,59195,28788,12.7,4665,2.6,1.8,1.8,0.6,0.5,69.4,151000,10866,41.8,4.1,16.3,18.4,41.7,54.8,0.2,0.5,0,2.3,1.3,0.7,168,1646,478,1481.470588,83.47058824,6.882352941,146.2941176,0.470588235,48.76470588,310.1176471,103309,0,22.76297869
Tazewell County,Virginia,15800,2.46,86.4,15.9,6.7,91.8,0.9,1.5,24.8,46508,27327,18.1,19866,1.5,1.6,3.7,1.1,0.7,72.6,112200,40392,50.2,4.8,19.7,22.9,93.3,4,0,0.7,0,1.6,0.7,0.3,910,11231,2126,957,0,0,0,0,0,152,721258,62050,78.24926748
Virginia Beach city,Virginia,178915,2.51,94.5,39.8,16.6,83.7,9.3,12.2,23.5,87544,45320,8,189951,1.6,4.7,7.6,4.3,7.6,64.6,343700,457900,50.7,6,22,15,62.8,18.9,0.2,7.1,0.1,8.5,5.1,3.4,11625,157522,36719,1715.25,105.0625,0,208.75,4.8125,57.0625,411.25,6155309,1494059,1838.710559
Warren County,Virginia,15235,2.62,88.8,22.4,9.1,88.4,5.9,6.4,40.1,79313,37706,12,16794,1.5,2.5,1.8,2.6,1,74.2,293400,40800,49.6,5.5,21.7,16.6,84.7,5.4,0.2,1.3,0,5,5.5,3.8,890,11574,3099,4821.375,365.3333333,30.54166667,861.75,3.416666667,326.0416667,1155.208333,529296,71531,187.2148916
Washington County,Virginia,22013,2.38,89.2,24.6,8.5,90.7,1.5,2.8,24.2,59116,33900,12,25509,1.8,3.5,3.6,1.6,1.1,75.2,181000,53985,50.1,3.9,17.2,24,95.2,1.7,0.1,0.5,0,2,1.6,0.4,1136,16457,3708,841,0.8,0,0,0,0,108.6,812714,85906,95.76577681
Waynesboro city,Virginia,9431,2.35,88.2,27.2,8.6,86.4,5.7,8.5,22.3,52519,30380,16.1,10288,1.7,7,8.8,7.5,4,56.9,226700,22341,50.8,6.3,22.3,17.4,76.4,10.6,0.3,1.8,0,9,5.4,2.8,603,9074,1388,734.3333333,0,0,0,0,0,143.3333333,483769,87183,1511.710569
Westmoreland County,Virginia,7832,2.34,81.9,17.6,11.5,90,4.4,7.1,38.7,56647,35850,16,11176,0.2,1.2,1.4,0.2,0.8,76.6,244000,18480,51.8,4.8,18.2,25.7,63.3,24.4,0.1,1.1,0,6.2,7.8,1.2,316,2357,1298,174,0,0,0,0,0,38,115959,15538,78.5564085
Williamsburg city,Virginia,4882,2.18,93.3,50.6,6.7,70.2,8.4,14.4,17.7,66815,35264,13.7,5732,6.3,7.4,12.2,8.9,9.6,50.9,385600,15486,53,2.3,10.2,16.8,69.2,15.2,0.4,7,0,7.2,5.2,3.7,542,7616,988,1715.25,105.0625,0,208.75,4.8125,57.0625,411.25,310256,242602,1672.647896
Winchester city,Virginia,11217,2.41,87,32.3,6.1,84.7,12.2,19.7,21.1,62495,36012,16.8,12353,1.7,8.4,8.4,9.5,4.5,43.9,299900,28103,50.6,5.9,22.3,16.4,72.9,9.9,0.3,2.1,0,8.6,10.8,11.5,1373,24179,2272,947,0,0,0,0,0,0,1017190,160225,3054.314384
Wise County,Virginia,14052,2.36,80.4,16.3,7.2,87.3,1.8,2.3,23.3,47541,23702,19.9,16723,1.6,1.6,2.4,1.7,1.6,70.3,108000,36105,47.8,4.5,19,19.1,91.1,4.7,0.2,1.1,0,2.5,1.4,0.4,609,7508,1626,473,0,0,0,0,0,75,454533,48607,92.66076364
Wythe County,Virginia,12424,2.26,90.1,20.1,7.6,90.8,1.1,1.8,24.8,53921,31810,17.2,14040,1.4,2.4,3.7,1.6,1.1,75.3,157100,28275,50.6,4.9,19.4,21.6,93.9,2.2,0.1,0.8,0.1,2.7,1.1,0.3,677,9675,1643,531,0,0,0,0,0,93,699947,77225,62.09678512
York County,Virginia,25878,2.67,95.3,49.5,17.8,86.5,8.1,11.1,24.1,105154,47722,4.7,27905,0.5,3.1,5.2,5.9,4,72.2,387200,70238,50.4,5.3,23.3,17,70.9,13.1,0.1,5.6,0.1,8.8,5.1,1.7,1496,18337,4622,1715.25,105.0625,0,208.75,4.8125,57.0625,411.25,960650,258367,652.7179526
Adams County,Washington,6304,3.21,71,14.7,4.1,91.1,22.9,51.1,22.3,63105,24609,20.9,6774,5.2,2.4,1.6,0.9,3.8,64.9,216900,20557,48.9,8.9,34.8,11.3,52.3,0.2,2.1,0.6,0.4,15.4,42.6,2.3,377,4541,785,258,0,0,0,0,63,43,210342,21048,10.38083761
Asotin County,Washington,9499,2.33,93,23.1,10.9,86,3.2,4.4,15.3,63724,36800,16.1,10109,3.4,4.2,2.4,1.2,2.4,72.2,266400,22370,50.7,5.5,20.2,23.8,90.5,0.7,1.2,1.2,0,5.2,3.6,1.1,441,5219,1049,616,0,0,1,0,0,0,324959,32707,35.50207501
Benton County,Washington,75509,2.72,90.1,32.3,8.3,87.8,11.6,21.4,22.2,83778,39668,10.5,80421,3.4,3.3,4.6,3.6,8.8,68.1,338700,207560,49.6,6.6,26.3,15.4,75.7,1.8,0.7,3.1,0.2,9.8,15.3,2.2,4931,71519,10315,2996,0,74.5,215.5,0,542.5,434,2949848,453919,120.2225633
Chelan County,Washington,30414,2.55,85.4,29.5,7.3,87.2,14,26.1,19.4,71876,39746,9.2,37581,3.2,3.8,2.5,3.2,6.4,63.5,412300,79076,49.5,5.7,22.9,19.9,70.1,0.5,0.7,0.8,0,8.8,25.2,3.4,2678,31681,5232,1479.5,0,2.5,0,0,0,269.5,1141642,289574,26.42768774
Clallam County,Washington,34128,2.23,93,30.8,12.8,87.6,5,5.7,20.1,66108,38181,10.9,37994,1.5,2,1.5,2,4.9,72.9,353600,77333,50.3,4.1,16.6,30.7,83.7,0.9,3.9,1.7,0,7.7,4.4,1.4,2094,17803,5018,1805,0,0,111,0,32,397,945907,151398,44.47676159
Clark County,Washington,188863,2.65,93,32.2,8.7,84.2,10.8,15.7,25.8,90115,43872,8.9,196557,2.9,3.2,4.6,3.3,8.2,66.7,453200,504091,50.2,5.7,23.2,16.1,79.5,2,0.7,4.7,0.8,9.3,7.2,2.2,11993,147590,36549,7862,85.57142857,0,630.5714286,9,0,1799.285714,5497007,856491,776.8553334
Columbia County,Washington,1804,2.16,89.9,26.6,12.9,88.1,3.6,6.6,19.6,68825,40774,9.3,2196,2,2,1.5,0.3,0.2,75.1,229600,3980,50.7,4.3,17.4,28.9,81.7,0.9,0.4,0.1,0,12.5,10.1,0,119,796,237,679.5,0,0,19,0,0,0,24370,5580,4.587921649
Cowlitz County,Washington,43167,2.53,90.1,16.6,10.1,85.9,4.1,7.7,27.5,70912,35526,12.1,45540,3.1,2.4,3.3,3.6,7,66.4,332200,110621,49.9,5.9,22.6,19.2,85.9,0.8,1.5,1.2,0.3,8.1,5.5,1.5,2242,32703,5053,1916,0,0,0,0,14,416,1485425,180436,96.91166412
Douglas County,Washington,15474,2.75,81.8,21.7,7.2,89,15.4,28.5,21.7,79422,39867,7.9,17438,2.8,4.1,1.8,1.4,4,69.9,366800,43189,48.3,6.3,25.1,17.8,64.5,0.5,1,0.7,0.3,7.6,30.4,0.9,808,8242,2114,1479.5,0,2.5,0,0,0,269.5,522872,57193,23.87175212
Ferry County,Washington,3025,2.33,91.4,18.1,12.2,87.7,2.3,3.7,24.6,50424,31355,15.5,4100,0.4,0.2,1.5,1.3,0.1,76.2,252700,7260,49.8,4.6,17.1,29,72.4,0.2,15.1,0.4,0.8,10.6,1.3,0.4,140,904,394,90,0,0,0,0,0,0,45301,5030,3.461722375
Franklin County,Washington,28350,3.32,75.8,20,6,82.8,22.2,49.1,22.5,77877,31346,13.4,29806,1.4,3.5,2.9,2.5,5.1,69.9,308700,96692,48.3,8.4,31.5,9.8,56.6,2.3,1.8,1.9,0.2,15.7,33.6,4.2,1831,22236,4295,2996,0,74.5,215.5,0,542.5,434,1294958,133087,76.69322987
Garfield County,Washington,1009,2.26,92.9,27,14.7,89.8,1.4,3.7,23.8,57958,31187,11.1,1202,2.8,2.3,1,0.7,0,77.5,190000,2310,49.2,4.7,19.5,27.8,90.3,1,0,1.4,0,6,3.9,0.4,45,301,133,30,0,0,0,0,0,0,10656,443,3.130120293
Grant County,Washington,33666,2.89,80.4,17.7,7,84.6,16.5,35.5,20,66387,29655,14.3,38851,2.7,3.6,1.2,2.2,4.6,64.8,244500,99145,49,7.3,28.9,14.2,62.1,1,1.6,1,0,10.9,31.7,3,1973,23719,4433,1483,0,0,0,0,145,190,946985,140534,36.4743352
Grays Harbor County,Washington,29542,2.46,90.1,17.2,11.1,85.5,4.7,8.9,24,59105,31703,14.9,36204,2.6,3.5,2.6,1.7,4.3,71.2,249900,75672,48.3,4.8,20.1,22.3,82,1.4,3.8,1.2,0.4,7.8,6.9,2.5,1558,15200,3639,1586,0,0,0,0,39,236,780567,139549,39.47539447
Island County,Washington,35498,2.36,95.7,35.4,17.1,85.6,7.5,9.3,27.1,82850,44217,6.8,42098,2.8,2.6,2.3,2.1,1.9,73.8,480800,86510,49.8,5.2,17.8,25.3,80.9,2.6,1.1,4.7,0.4,8.1,5.4,1.3,1895,12760,6312,1507,0,0,0,0,0,312,565522,120464,408.326439
Jefferson County,Washington,15859,2.04,97.1,43.5,12.5,89.1,4.5,5.8,24.3,64796,44289,13.8,19148,1.6,1.6,1.6,1.4,1.8,80.4,449300,33006,51,2.6,11.7,38.6,88,0.4,1.6,1.4,0.1,6.4,3.6,1,1018,6631,3404,1190,0,0,0,0,0,239,259176,66840,17.8635959
King County,Washington,916270,2.42,93.8,54.8,5,82.2,24.5,29.4,28.9,116340,66811,8.4,972821,1.7,3.9,5.9,6.7,23.5,56.2,761500,2254371,49.3,5.4,19.8,13.6,58.8,6.5,0.7,19.4,0.7,9.3,7.8,2.8,70745,1210954,180525,28730,487.6666667,387.3333333,4298.333333,0,1375.333333,6520,89586707,9457182,1065.002747
Kitsap County,Washington,106031,2.52,95.2,35.3,15.1,84.2,6.8,8.4,29.3,93675,47713,8.3,113930,2.3,3.2,3.4,4,5.8,69.8,463000,275411,48.6,5.4,20,18.7,77.5,2.7,1,4.8,1,10.4,5.7,2.3,6165,60012,16621,5199,0,0,0,0,80,965,3319099,640883,687.0535871
Kittitas County,Washington,19250,2.2,93.1,36.1,7.8,78.2,3.4,6.5,23.5,66800,39399,14.5,23918,2.9,3.7,2.6,3.1,7.3,61.5,417600,44424,49.6,4.3,17.4,16.8,83.6,0.9,0.5,1.4,0.3,8.5,8.9,1.7,1378,12291,3176,1349,0,0,0,0,0,277,615979,137883,20.8657167
Klickitat County,Washington,9618,2.32,89.4,30.8,12,89.7,10.1,12.6,22.9,66581,38760,13.8,10602,1.4,2,1.5,0.3,0.9,75,352500,22798,49,4.6,18.9,24.4,86.5,0.8,1,0.6,0.3,7.7,7.3,1.7,552,4070,1766,475,0,0,0,0,0,76,81662,27374,11.98149348
Lewis County,Washington,31511,2.59,89.5,19.8,9.7,86.5,5,8.2,28,67247,32800,12.3,35604,1.6,2.8,2,1.1,4.7,72.9,306600,82663,49.3,5.7,21.5,21,84.9,0.6,0.9,1.1,0.2,9.6,7.5,1.6,1944,21581,4185,1573,0,0,0,0,85,253,1079422,138295,33.58896436
Lincoln County,Washington,4532,2.41,92.4,23,10.4,90.2,2,3.3,25.6,68172,36741,11.6,5785,0.8,1.2,1.4,0.9,0.4,77.8,232500,11036,49.4,5.3,21.9,25.2,91.6,0.5,1.7,0.9,0.3,3.9,1.8,0.9,276,1742,731,148,0,0,0,0,0,0,73354,0,4.734272158
Mason County,Washington,25488,2.54,90.5,21.4,14.1,88.6,6.4,8.7,35.3,74388,37088,12.9,33461,1.1,1,0.7,0.4,0.8,79.2,340300,66053,47.8,5,19.4,23.4,79.7,1,2.1,1.1,0.5,9.2,9.4,5.8,1065,9386,3359,1046,0,0,0,0,0,132,504041,161361,69.58217088
Okanogan County,Washington,17005,2.37,86,22.6,9.9,87.2,12.2,19,19.5,58218,29777,18.9,21917,1.4,1.8,2,1.4,0.6,69.8,251100,42336,48.9,5.7,22.8,22.4,67.7,1.3,9,0.6,0.1,9.8,16.4,1.4,1160,8180,2407,1054,0,0,0,0,28,161,499354,82022,8.02155238
Pacific County,Washington,10689,2.16,91.3,23.7,13.2,89.8,7.2,9.9,23.2,58889,36899,13.2,16085,1.2,2.1,1.3,1.5,3.1,82.1,252100,23396,49.9,3.5,15.3,32.5,82.2,0.5,2.1,1.7,0.2,6.6,9.6,1.8,597,4368,1496,544,0,0,0,0,0,89,139537,74981,24.0689518
Pend Oreille County,Washington,5737,2.34,93.4,21.5,12.9,90.3,1.7,1.8,32.1,59353,33981,12.9,7993,0.5,1.1,1.3,1,1.7,76.1,288200,13570,48,4.4,19.2,26.8,86.4,0.2,2.6,0.7,0.1,7.9,5.3,1.8,241,1709,830,4135,78,28.66666667,173.6666667,0,0,0,61658,8238,9.801045857
Pierce County,Washington,341783,2.63,92.4,29.3,11.7,83.2,10.5,15.7,32.1,91486,43575,8.7,360816,2.5,4.3,4.7,5,7.6,64.6,444600,918993,49.7,6.3,23.1,14.2,68,7.1,1.2,6.6,1.6,12.3,7.1,2.5,19462,269230,53385,28730,487.6666667,387.3333333,4298.333333,0,1375.333333,6520,13775903,1944983,542.5380542
San Juan County,Washington,8654,2.06,95.8,52.6,8.4,87.3,7.6,6.6,16.4,76745,59650,11,13851,1.3,0.9,1.1,1.6,0.5,77.5,673700,18001,50.8,2.8,12.7,34.6,89.5,0.6,0.6,1.3,0.3,5.1,4.7,1.7,1025,5011,2710,874,0,0,0,0,0,0,180240,106848,101.097301
Skagit County,Washington,50824,2.51,90.8,28.7,10.3,86.8,9.4,16.7,26.6,82029,41191,12,55875,2.3,3.2,2.3,2.2,5.1,70.3,444300,129480,50.1,5.5,21.3,21.5,78.4,0.9,1.8,2.1,0.3,7,13.1,2.3,3580,40917,8387,2943,2,30,0,0,0,482,2272095,411709,74.67542373
Skamania County,Washington,4812,2.5,93.4,26.4,9.7,89.1,3.9,4.6,30.3,84500,42162,8.6,5830,2.7,2.1,0.4,0.5,1.1,81.2,443000,12118,50.5,4.2,17.8,21.6,87.9,0.1,2.1,1.4,0.3,6.3,3.9,1.1,203,1614,845,7862,85.57142857,0,630.5714286,9,0,1799.285714,35405,36668,7.286456428
Snohomish County,Washington,307643,2.66,92.8,35.4,7.6,86.4,17.7,22.8,31.7,104083,49215,7.6,323438,2.3,3.3,4.5,5.5,10,68.6,592800,828337,49.5,6.1,22.3,14.1,68.9,3.5,0.9,12.3,0.5,9.7,8.1,2.8,19912,258700,53954,28730,487.6666667,387.3333333,4298.333333,0,1375.333333,6520,11584884,2178047,393.9964188
Spokane County,Washington,213524,2.45,94.1,31.9,10.3,82.9,5.2,7.2,22.2,70394,38052,12.3,225044,2.5,2.9,4.1,6,10.4,63.8,331600,538711,50,5.7,21.7,16.8,84.8,1.9,1.1,2.2,0.6,7.7,4.2,1.4,13865,195698,35054,4135,78,28.66666667,173.6666667,0,0,0,7847030,1165322,296.3885814
Stevens County,Washington,18471,2.52,92,20.9,10.8,90.2,2.2,3.8,30.1,62381,32904,13.3,22312,0.9,0.8,1.1,1,1.3,79.7,277300,46774,49.9,5,21.1,24.3,87.5,0.3,4.4,0.8,0.2,5.7,2.5,1.2,918,8155,2788,4135,78,28.66666667,173.6666667,0,0,0,321920,33789,18.45607746
Thurston County,Washington,115695,2.51,94.3,36.4,12.5,83.4,8.4,12,26.6,88895,42306,9.3,121682,2.8,3.2,3.5,3.7,6.6,67.3,411700,294272,50.7,5.5,21.1,17.9,76,3.1,1.1,5.7,1,10.9,6,2.4,6529,74432,17249,5770,108,0,0,0,0,1341,3958772,574487,402.1316073
Wahkiakum County,Washington,1954,2.27,92.1,22.1,16.6,93.1,4.4,5.4,41,59167,31643,13.7,2200,1.6,0.3,0.2,1,0,85.3,319100,4476,49.2,3.3,17.2,33.1,85.2,1,0.3,2.5,0.2,6.3,5.8,4.3,85,455,356,0,0,0,0,0,0,0,8128,0,17.06974978
Walla Walla County,Washington,22978,2.5,88.9,29.9,8.2,84.3,10,19.5,15.1,66635,34476,11.1,25032,3.3,3.4,5.2,2.2,5.9,66.2,331600,62150,49.7,5,20.5,19.3,77.5,1.9,1.4,1.8,0.2,8.5,13.4,3.7,1449,20274,3530,679.5,0,0,19,0,0,0,560755,120144,47.84129496
Whatcom County,Washington,91171,2.43,93.3,37,7.1,82.8,9.9,12.2,21.9,77581,40916,12.9,100394,2.6,4.6,4.5,5.5,10.1,63,475000,226523,50.3,4.8,19,18.1,79.9,0.9,2.1,4.4,0.3,8.3,7.4,2.5,6994,74284,17475,5968,36,0,344,0,0,1038,3225182,609139,108.7573179
Whitman County,Washington,17963,2.28,95.8,50.9,5,70.6,9.5,12.7,16.8,49345,30287,23.9,20974,4.5,5.4,11.7,15.4,9.3,45.2,298500,47141,49.2,4.1,15.3,11.5,78.8,2,0.7,8,0.1,8.1,5.1,2.1,848,10425,2370,684,0,0,0,0,0,107,411293,81821,23.2042309
Yakima County,Washington,85558,2.95,75.7,18.2,5.6,87.1,18.7,42.6,19.7,64910,27448,15.5,90660,3.5,3.8,2.7,2.4,5.3,62.3,254700,256143,49.8,7.5,29.3,14,59.1,0.9,3.3,1.1,0.4,17.9,32,3.1,4880,68144,10239,3806,7,108,325,0,455,0,3136828,418342,58.41711778
Barbour County,West Virginia,5789,2.58,87.9,11.8,8.1,92,0.4,2,27.4,44341,24947,22,7164,1.8,1.5,2.5,0.4,1.4,75.1,119000,15527,50.9,4.8,20.1,20.8,92.2,1.4,0.2,0.5,0,5.4,4,0.4,203,2874,672,173,0,0,0,0,0,20,77127,12833,48.20575407
Berkeley County,West Virginia,48528,2.52,90.6,24.3,10.1,86.1,4.5,5.6,29.9,73619,35909,10.9,51292,1.4,1.9,4.1,1.9,1.3,75.4,231600,123283,50,6.1,23,15,84,6.8,0.1,1.1,0,5.9,4.1,2.6,1713,28190,7366,2142.5,29,0,171,0,0,0,1110316,164152,371.0775175
Boone County,West Virginia,7992,2.7,84.4,11.7,7.8,93.6,0.4,0.6,34.7,56182,26242,16.5,10205,2.7,2.3,1.2,0.1,0.9,79.1,87300,21705,49.6,4.9,20.8,21.1,97.3,0.3,0,0.2,0,2.1,0.4,0.1,236,3923,669,1302,0,0,37,0,0,206.6666667,214448,12680,42.78273199
Braxton County,West Virginia,4567,2.64,82.6,11.7,10.5,91.1,0.1,0.2,29.8,42245,21948,18.2,6318,1.8,1.3,1,0.5,0.4,81.5,95100,12505,48.8,4.3,19,24.1,89.5,1,0.3,0.1,0,9.1,7.9,0.1,238,2743,506,299,0,0,0,0,0,0,200673,0,27.32730393
Brooke County,West Virginia,9593,2.23,92.5,21.9,8.3,90.2,1.3,2.5,23.5,51963,30400,11,10721,1.7,4.1,3.6,3.4,2.7,74.7,115000,22349,50.4,4.3,17.6,24.1,94.4,1.5,0.1,0.5,0,3.4,2,0.3,375,6111,971,523.6666667,0,0,21,0,0,69.33333333,284190,35442,245.9647662
Cabell County,West Virginia,38854,2.31,89.8,30.3,6.5,86.1,1.7,2.7,21.1,48944,30068,20.1,46101,4,4.7,5.3,5.5,5.1,64.6,144200,93965,51.2,5.3,19.6,19.4,90.1,4.4,0.1,1.3,0,3.7,1.2,0.4,2294,43560,4804,612.4285714,0,0,28.71428571,0,0,108.2857143,1478411,264351,327.1835995
Calhoun County,West Virginia,2416,2.59,86.8,8.3,9.7,82,0.2,0.8,39.2,39031,22982,33.7,3225,0.3,0.1,0.9,0.2,0.6,78.1,111000,6279,52.2,4.2,19,25,96,0,0.1,0,0,3.9,2.2,0.1,85,752,355,89,0,0,0,0,0,0,22949,1307,25.4575172
